Date,ShortVolume,ShortExemptVolume,TotalVolume
2015-03-26,12517573.0,21754.0,32425208.0
2015-03-27,14148963.0,3795.0,21031112.0
2015-03-30,12787670.0,8959.0,18301726.0
2015-03-31,9946012.0,11735.0,17877821.0
2015-04-01,17374332.0,10544.0,27369177.0
2015-04-02,7805165.0,505.0,12891914.0
2015-04-06,15536732.0,4679.0,25874280.0
2015-04-07,11325512.0,13674.0,15671873.0
2015-04-08,10012157.0,13833.0,16410815.0
2015-04-09,9781320.0,4000.0,21220051.0
2015-04-10,8572903.0,7966.0,18779504.0
2015-04-13,8915370.0,11446.0,19511583.0
2015-04-14,9259303.0,15178.0,17715720.0
2015-04-15,13655146.0,18548.0,20105158.0
2015-04-16,8105757.0,2813.0,12915667.0
2015-04-17,27345951.0,26853.0,50166761.0
2015-04-20,12915520.0,0.0,20298442.0
2015-04-21,9797373.0,11002.0,16783064.0
2015-04-22,8711660.0,0.0,18493744.0
2015-04-23,12908281.0,13974.0,20225580.0
2015-04-24,5484064.0,9123.0,8602049.0
2015-04-27,9298670.0,26825.0,14610384.0
2015-04-28,12427560.0,5847.0,18851530.0
2015-04-29,16203481.0,9251.0,28623696.0
2015-04-30,21987322.0,6932.0,39165361.0
2015-05-01,11899691.0,10798.0,18568114.0
2015-05-04,10023531.0,51810.0,13859327.0
2015-05-05,15170781.0,11820.0,24949551.0
2015-05-06,18994083.0,12445.0,34196605.0
2015-05-07,10263004.0,2529.0,15124680.0
2015-05-08,26891938.0,16424.0,42847314.0
2015-05-11,11526533.0,5584.0,14678062.0
2015-05-12,16551676.0,3172.0,24118857.0
2015-05-13,8333661.0,16651.0,18082247.0
2015-05-14,15815482.0,14056.0,25098641.0
2015-05-15,11943694.0,8898.0,18633184.0
2015-05-18,9601154.0,1723.0,16940569.0
2015-05-19,11784629.0,10130.0,15064868.0
2015-05-20,10426745.0,6511.0,16194510.0
2015-05-21,7265531.0,377.0,11670855.0
2015-05-22,6957093.0,28515.0,10460133.0
2015-05-26,13270099.0,34328.0,35345611.0
2015-05-27,11699159.0,14808.0,17056265.0
2015-05-28,7449987.0,12414.0,15395532.0
2015-05-29,11893526.0,19881.0,22702405.0
2015-06-01,10325435.0,4914.0,16617342.0
2015-06-02,9177251.0,16926.0,13689777.0
2015-06-03,7871878.0,8399.0,15082801.0
2015-06-04,20723696.0,12550.0,41748701.0
2015-06-05,11777820.0,7528.0,23783890.0
2015-06-08,8572922.0,5802.0,14948915.0
2015-06-09,11092270.0,5855.0,22248965.0
2015-06-10,24890421.0,18862.0,35301489.0
2015-06-11,9146880.0,12801.0,13482291.0
2015-06-12,19317039.0,5619.0,44795814.0
2015-06-15,13317800.0,11187.0,31753829.0
2015-06-16,10100113.0,10728.0,23002337.0
2015-06-17,15996291.0,38458.0,36024760.0
2015-06-18,31507613.0,23852.0,46751182.0
2015-06-19,18778274.0,28027.0,30004306.0
2015-06-22,7328610.0,25723.0,12212949.0
2015-06-23,7850765.0,8958.0,13098312.0
2015-06-24,10410385.0,17270.0,19137749.0
2015-06-25,11219084.0,19508.0,19796585.0
2015-06-26,13006481.0,8841.0,17390874.0
2015-06-29,26680434.0,45700.0,46940191.0
2015-06-30,18654555.0,9040.0,33135243.0
2015-07-01,23420296.0,11648.0,39886053.0
2015-07-02,12921955.0,24487.0,23011730.0
2015-07-06,19321119.0,33999.0,27681038.0
2015-07-07,20566487.0,22876.0,32564544.0
2015-07-08,19289117.0,19166.0,34272287.0
2015-07-09,21821355.0,76857.0,36802983.0
2015-07-10,18089108.0,27472.0,31412702.0
2015-07-13,17283358.0,20211.0,26188010.0
2015-07-14,8841783.0,12374.0,14509814.0
2015-07-15,10141568.0,21492.0,18500112.0
2015-07-16,14655226.0,66886.0,27645207.0
2015-07-17,11909858.0,26526.0,26388569.0
