Date,Value
2018-03-27,4.264
2018-03-28,4.246
2018-03-29,4.246
2018-03-30,4.227
2018-03-31,4.227
2018-04-01,4.227
2018-04-02,4.246
2018-04-03,4.246
2018-04-04,4.246
2018-04-05,4.246
2018-04-06,4.246
2018-04-07,4.246
2018-04-08,4.246
2018-04-09,4.246
2018-04-10,4.246
2018-04-11,4.227
2018-04-12,4.246
2018-04-13,4.264
2018-04-14,4.264
2018-04-15,4.264
2018-04-16,4.334
2018-04-17,4.264
2018-04-18,4.334
2018-04-19,4.371
2018-04-20,4.371
2018-04-21,4.371
2018-04-22,4.371
2018-04-23,4.371
2018-04-24,4.371
2018-04-25,4.459
2018-04-26,4.371
2018-04-27,4.352
2018-04-28,4.352
2018-04-29,4.352
2018-04-30,4.352
2018-05-01,4.352
2018-05-02,4.352
2018-05-03,4.334
2018-05-04,4.334
2018-05-05,4.334
2018-05-06,4.334
2018-05-07,4.334
2018-05-08,4.352
2018-05-09,4.39
2018-05-10,4.352
2018-05-11,4.352
2018-05-12,4.352
2018-05-13,4.352
2018-05-14,4.371
2018-05-15,4.459
2018-05-16,4.496
2018-05-17,4.515
2018-05-18,4.496
2018-05-19,4.496
2018-05-20,4.496
2018-05-21,4.58
2018-05-22,4.515
2018-05-23,4.478
2018-05-24,4.39
2018-05-25,4.39
2018-05-26,4.39
2018-05-27,4.39
2018-05-28,4.39
2018-05-29,4.352
2018-05-30,4.264
2018-05-31,4.352
2018-06-01,4.371
2018-06-02,4.371
2018-06-03,4.371
2018-06-04,4.352
2018-06-05,4.371
2018-06-06,4.371
2018-06-07,4.39
2018-06-08,4.371
2018-06-09,4.371
2018-06-10,4.371
2018-06-11,4.39
2018-06-12,4.39
2018-06-13,4.39
2018-06-14,4.39
2018-06-15,4.371
2018-06-16,4.371
2018-06-17,4.371
2018-06-18,4.371
2018-06-19,4.371
2018-06-20,4.371
2018-06-21,4.39
2018-06-22,4.39
2018-06-23,4.39
2018-06-24,4.39
2018-06-25,4.39
2018-06-26,4.39
2018-06-27,4.371
2018-06-28,4.352
2018-06-29,4.371
2018-06-30,4.371
2018-07-01,4.371
2018-07-02,4.352
2018-07-03,4.39
2018-07-04,4.39
2018-07-05,4.371
2018-07-06,4.371
2018-07-07,4.371
2018-07-08,4.371
2018-07-09,4.352
2018-07-10,4.352
2018-07-11,4.352
2018-07-12,4.371
2018-07-13,4.264
2018-07-14,4.264
2018-07-15,4.264
2018-07-16,4.352
2018-07-17,4.264
2018-07-18,4.264
2018-07-19,4.352
2018-07-20,4.264
2018-07-21,4.264
2018-07-22,4.264
2018-07-23,4.352
2018-07-24,4.371
2018-07-25,4.371
2018-07-26,4.371
2018-07-27,4.371
2018-07-28,4.371
2018-07-29,4.371
2018-07-30,4.371
2018-07-31,4.371
2018-08-01,4.371
2018-08-02,4.371
2018-08-03,4.371
2018-08-04,4.371
2018-08-05,4.371
2018-08-06,4.371
2018-08-07,4.371
