Date,Short Volume,Total Volume
2019-01-07,100.0,200.0
2019-01-08,900.0,1454.0
2019-01-09,0.0,200.0
2019-01-10,200.0,400.0
2019-01-11,700.0,3820.0
2019-01-14,3064.0,3700.0
2019-01-15,500.0,1600.0
2019-01-16,200.0,16012.0
2019-01-17,700.0,2500.0
2019-01-18,500.0,1496.0
2019-01-22,1945.0,2545.0
2019-01-23,1403.0,2103.0
2019-01-24,800.0,1299.0
2019-01-25,700.0,1300.0
2019-01-28,1100.0,2249.0
2019-01-29,4013.0,8213.0
2019-01-30,5000.0,5900.0
2019-01-31,1500.0,2300.0
2019-02-01,700.0,1500.0
2019-02-04,572.0,1802.0
2019-02-05,1308.0,2295.0
2019-02-06,2400.0,2992.0
2019-02-07,328.0,328.0
2019-02-08,578.0,1178.0
2019-02-11,1.0,472.0
2019-02-12,200.0,300.0
2019-02-13,900.0,900.0
2019-02-14,701.0,1301.0
2019-02-15,309.0,1288.0
2019-02-19,200.0,1700.0
2019-02-20,800.0,2104.0
2019-02-21,800.0,1000.0
2019-02-22,900.0,1428.0
2019-02-25,1800.0,2420.0
2019-02-26,893.0,5546.0
2019-02-27,700.0,2109.0
2019-02-28,233.0,920.0
2019-03-01,100.0,1000.0
2019-03-04,846.0,1150.0
2019-03-05,1242.0,1742.0
2019-03-06,347.0,647.0
2019-03-07,500.0,1044.0
2019-03-08,400.0,1300.0
2019-03-11,580.0,1144.0
2019-03-12,861.0,1161.0
2019-03-13,768.0,1568.0
2019-03-14,400.0,702.0
2019-03-15,100.0,1230.0
2019-03-18,367.0,1628.0
2019-03-19,1174.0,2622.0
2019-03-20,1200.0,1400.0
2019-03-21,500.0,768.0
2019-03-22,1005.0,1205.0
2019-03-25,811.0,1011.0
2019-03-26,500.0,898.0
2019-03-27,1105.0,2505.0
2019-03-28,200.0,1110.0
2019-03-29,1300.0,1710.0
2019-04-01,1980.0,2080.0
2019-04-02,1423.0,3606.0
2019-04-03,200.0,300.0
2019-04-04,1168.0,1544.0
2019-04-05,335.0,705.0
2019-04-08,500.0,600.0
2019-04-09,200.0,300.0
2019-04-10,0.0,100.0
2019-04-11,622.0,622.0
2019-04-12,501.0,721.0
2019-04-15,161.0,1100.0
2019-04-16,960.0,1660.0
2019-04-17,700.0,6100.0
2019-04-18,300.0,8800.0
2019-04-22,500.0,1049.0
2019-04-23,604.0,2434.0
2019-04-24,705.0,3066.0
2019-04-25,1400.0,6417.0
2019-04-26,800.0,6539.0
2019-04-29,400.0,2900.0
2019-04-30,800.0,2000.0
2019-05-01,850.0,3338.0
2019-05-02,400.0,600.0
2019-05-03,1800.0,2842.0
2019-05-06,500.0,500.0
2019-05-07,900.0,1100.0
2019-05-08,1200.0,2100.0
