Date,ShortVolume,ShortExemptVolume,TotalVolume
2015-04-22,12840.0,0.0,39328.0
2015-04-23,126115.0,0.0,220228.0
2015-04-24,45391.0,100.0,113566.0
2015-04-27,40298.0,0.0,92017.0
2015-04-28,25688.0,0.0,116369.0
2015-04-29,17223.0,0.0,76686.0
2015-04-30,65514.0,0.0,77983.0
2015-05-01,13201.0,0.0,26138.0
2015-05-04,18005.0,0.0,96969.0
2015-05-05,17461.0,0.0,23218.0
2015-05-06,19905.0,0.0,34880.0
2015-05-07,14911.0,800.0,28652.0
2015-05-08,11560.0,0.0,20403.0
2015-05-11,10172.0,0.0,20459.0
2015-05-12,9086.0,0.0,17538.0
2015-05-13,16179.0,0.0,44679.0
2015-05-14,10577.0,0.0,64807.0
2015-05-15,5646.0,0.0,18472.0
2015-05-18,19901.0,0.0,35528.0
2015-05-19,12242.0,0.0,42469.0
2015-05-20,21907.0,0.0,60543.0
2015-05-21,8758.0,0.0,36628.0
2015-05-22,9443.0,0.0,20676.0
2015-05-26,6500.0,0.0,28811.0
2015-05-27,20736.0,0.0,119632.0
2015-05-28,6294.0,0.0,32440.0
2015-05-29,29988.0,0.0,48131.0
2015-06-01,9981.0,0.0,37894.0
2015-06-02,16756.0,0.0,43792.0
2015-06-03,21697.0,0.0,35628.0
2015-06-04,28670.0,100.0,48542.0
2015-06-05,13617.0,0.0,30929.0
2015-06-08,8218.0,0.0,29357.0
2015-06-09,13216.0,0.0,33683.0
2015-06-10,20755.0,0.0,40769.0
2015-06-11,17129.0,0.0,51805.0
2015-06-12,39979.0,0.0,48854.0
2015-06-15,25301.0,0.0,45921.0
2015-06-16,15249.0,0.0,58642.0
2015-06-17,13552.0,0.0,25894.0
2015-06-18,18065.0,0.0,40580.0
2015-06-19,13297.0,0.0,31644.0
2015-06-22,16078.0,0.0,36573.0
2015-06-23,36041.0,0.0,56590.0
2015-06-24,44942.0,0.0,66088.0
2015-06-25,18120.0,0.0,69526.0
2015-06-26,29489.0,0.0,65042.0
2015-06-29,28650.0,0.0,44726.0
2015-06-30,13442.0,0.0,28092.0
2015-07-01,12332.0,0.0,25598.0
2015-07-02,29082.0,0.0,90839.0
2015-07-06,14928.0,0.0,57913.0
2015-07-07,84520.0,0.0,133390.0
2015-07-08,57105.0,14.0,78402.0
2015-07-09,21506.0,0.0,40866.0
2015-07-10,52238.0,0.0,74622.0
2015-07-13,16068.0,0.0,49681.0
2015-07-14,45626.0,0.0,84693.0
2015-07-15,11424.0,0.0,27035.0
2015-07-16,11920.0,0.0,21396.0
2015-07-17,25270.0,0.0,48666.0
2015-07-20,45301.0,300.0,112678.0
2015-07-21,50438.0,0.0,158505.0
2015-07-22,64209.0,0.0,101990.0
2015-07-23,86834.0,0.0,274870.0
2015-07-24,39124.0,0.0,76220.0
2015-07-27,33972.0,85.0,93443.0
2015-07-28,39977.0,0.0,75731.0
2015-07-29,35572.0,0.0,115519.0
2015-07-30,48845.0,0.0,132220.0
2015-07-31,15216.0,0.0,26473.0
2015-08-03,20417.0,0.0,34237.0
2015-08-04,18481.0,0.0,63431.0
2015-08-05,12286.0,0.0,66919.0
2015-08-06,14682.0,0.0,52717.0
2015-08-07,70481.0,0.0,132090.0
2015-08-10,6708.0,0.0,38225.0
2015-08-11,22127.0,0.0,43940.0
2015-08-12,23779.0,0.0,120739.0
2015-08-13,19611.0,0.0,71449.0
2015-08-14,9780.0,0.0,47731.0
2015-08-17,25743.0,0.0,66721.0
2015-08-18,21265.0,0.0,78290.0
2015-08-19,17615.0,0.0,59399.0
2015-08-20,46549.0,0.0,131087.0
2015-08-21,83985.0,0.0,180252.0
2015-08-24,165636.0,0.0,271286.0
2015-08-25,105182.0,0.0,257986.0
2015-08-26,49180.0,0.0,154088.0
2015-08-27,59490.0,0.0,180819.0
2015-08-28,26919.0,0.0,61767.0
2015-08-31,21699.0,0.0,65093.0
2015-09-01,65985.0,0.0,120785.0
2015-09-02,30415.0,0.0,146994.0
2015-09-03,45567.0,0.0,85670.0
2015-09-04,46620.0,0.0,121223.0
2015-09-08,12050.0,0.0,34811.0
2015-09-09,66712.0,0.0,100992.0
2015-09-10,34979.0,0.0,56064.0
2015-09-11,44251.0,0.0,155950.0
2015-09-14,50854.0,0.0,104308.0
2015-09-15,34196.0,0.0,82517.0
2015-09-16,24290.0,0.0,61197.0
2015-09-17,51062.0,0.0,84562.0
2015-09-18,38569.0,0.0,73008.0
2015-09-21,29397.0,0.0,60644.0
2015-09-22,28046.0,0.0,93227.0
2015-09-23,35112.0,0.0,121102.0
2015-09-24,32438.0,0.0,84879.0
2015-09-25,47812.0,0.0,102149.0
2015-09-28,30380.0,0.0,69156.0
2015-09-29,108635.0,200.0,202328.0
2015-09-30,45633.0,0.0,83257.0
2015-10-01,16781.0,0.0,51978.0
2015-10-02,82267.0,0.0,233651.0
2015-10-05,28001.0,0.0,84608.0
2015-10-06,24731.0,0.0,107865.0
2015-10-07,12635.0,0.0,77918.0
2015-10-08,20635.0,0.0,41332.0
2015-10-09,26417.0,0.0,58553.0
2015-10-12,14697.0,0.0,43084.0
2015-10-13,13598.0,0.0,52312.0
2015-10-14,15236.0,0.0,104254.0
2015-10-15,19318.0,0.0,93475.0
2015-10-16,16373.0,0.0,45377.0
2015-10-19,25399.0,0.0,60155.0
2015-10-20,18533.0,0.0,88181.0
2015-10-21,40735.0,0.0,78906.0
2015-10-22,99038.0,0.0,439986.0
2015-10-23,20591.0,0.0,99891.0
2015-10-26,14186.0,0.0,62650.0
2015-10-27,16858.0,0.0,84104.0
2015-10-28,16290.0,0.0,124133.0
2015-10-29,7136.0,0.0,37532.0
2015-10-30,12362.0,0.0,60871.0
2015-11-02,18376.0,0.0,75097.0
2015-11-03,11138.0,0.0,44896.0
2015-11-04,16361.0,0.0,45494.0
2015-11-05,7083.0,0.0,52887.0
2015-11-06,14757.0,0.0,97291.0
2015-11-09,55029.0,1676.0,95200.0
2015-11-10,78677.0,0.0,115325.0
2015-11-11,170377.0,0.0,191320.0
2015-11-12,8620.0,0.0,79281.0
2015-11-13,12126.0,0.0,46371.0
2015-11-16,13851.0,0.0,60103.0
2015-11-17,21714.0,0.0,55952.0
2015-11-18,8046.0,0.0,55599.0
2015-11-19,11147.0,0.0,44466.0
2015-11-20,10647.0,0.0,26313.0
2015-11-23,14151.0,0.0,36918.0
2015-11-24,13162.0,0.0,87281.0
2015-11-25,25165.0,0.0,42532.0
2015-11-27,6750.0,0.0,13805.0
2015-11-30,21138.0,0.0,55766.0
2015-12-01,15305.0,0.0,41650.0
